"coffee"|"company"|"rating"|"city"|"state"|"origin"|"origin_country"|"region"|"roast"|"description"
"Honduras Santa Barbara Las Brisas, Denis Teruel"|"Victrola Coffee Roasters"|"92"|"Seattle"|"Washington"|"Santa Barbara Department, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium-Light"|"Deep, sweet, pungent. Dark chocolate, lily-like flowers, pecan, a hint of ripe orange in aroma and cup. Crisp, gently brisk acidity; soft, plush mouthfeel. Chocolate, orangy citrus, a suggestion of lily carry into a mildly drying finish."
"Guatemala Acatenango Gesha"|"Ragamuffin Coffee Roasters"|"93"|"Newbury Park"|"California"|"Acatenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Richly sweet with an intricate, layered complexity. Honeycomb, wisteria-like flowers, peach, roasted cacao nib in aroma and cup. Gently tart, juicy acidity; syrupy, buoyantly lively mouthfeel. The peach note in particular carries into a rich, sweet-toned finish."
"Ethiopia Konga"|"Ragamuffin Coffee Roasters"|"92"|"Newbury Park"|"California"|"Konga District, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Deep, rich, sweet. Roasted cacao nib, pear cider, lily-like flowers, honeydew melon in aroma and cup. Brisk though sweetly floral-toned acidity; light, silky mouthfeel. Pear and melon in particular carry into a lush, flavor-saturated short finish that turns very mildly drying in the long."
"Lomi Tasha Worka, Ethiopia"|"Bar Nine"|"95"|"Los Angeles"|"California"|"Yirgacheffe growing district, southern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Delicate but deep; resonantly intricate. Lush rose, roasted cacoa-nib, mango chutney, blood orange, frankincense-like aromatic wood in aroma and cup. Bright, juicy, complex acidity; lightly silky, plush mouthfeel. Flavor consolidates but saturates a long finish."
"Laura’s Reserve SL-28"|"Hula Daddy"|"94"|"Holualoa"|"Hawaii"|"Holualoa, North Kona growing district, “Big Island” of Hawaii"|"Hawaii"|"Hawaii"|"Medium"|"Big, juicy, resonantly bright. Blood orange, black currant, lilac, vanilla, dark chocolate. Rich, round, lively acidity; full, syrupy mouthfeel. Flavor consolidates but retains depth and sweetness in a long finish."
"FlatIron Medium"|"HiLine Coffee"|"92"|"New York"|"New York"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Delicate, lively, sweetly tart. Roasted cacao nib, orange marmalade, pear, narcissus-like flowers in aroma and cup. Delicately bright acidity; light, silky mouthfeel. The tart character softens and smoothes in a gently flavor-saturated finish."
"Kenya Kia Kiamarigo AA"|"Parisi Artisan Coffee"|"92"|"Kansas City"|"Missouri"|"Nyeri growing region, south-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Intense, pungent, arresting. Honey, sweetly tart berry, spicy tea rose, roasted cacao nib in aroma and cup. Softly bright, complexly expressed acidity; syrupy mouthfeel. The berry note dominates in a deep, bittersweet finish."
"Kenya AA"|"GreenAlives"|"95"|"New Taipei City"|"Taiwan"|"Central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Big, brightly sweet, intense. Complex fruit – red currant, peach, orange – honeysuckle, musk, sandalwood in aroma and cup. Richly tart acidity; full, plush mouthfeel. Long, sweet-toned, resonantly flavor-saturated finish."
"Ethiopia Suke Quto Organic"|"Paradise Roasters"|"95"|"Ramsey"|"Minnesota"|"Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Intricate, exhilarating; crisp yet juicy. Honey, roasted cacao nib, tangerine, sandalwood and very complex flowers, particularly rose and jasmine, in aroma and cup. Juicy, gently tart acidity; plush mouthfeel. Flavor consolidates but persists in a long, sweet, resonant finish."
"S.O. Espresso Costa Rica Chayote"|"Paradise Roasters"|"93"|"Ramsey"|"Minnesota"|"Los Robles de Naranjo, West Valley growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Evaluated as espresso. Sweet, pungent but balanced. Buttery dark chocolate, candied blood orange, apricot, deep-toned narcissus-like flowers. Full, fudgy mouthfeel; chocolate and a hint of flowers carry into a richly drying finish. Blooms nicely in three parts milk, which sweetens and softens the chocolate without dampening the fine fruit and floral complication."
"Sumatra Lake Tawar"|"GreenAlives"|"91"|"New Taipei City"|"Taiwan"|"Aceh growing region, northwestern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Dark"|"Round, layered, deeply pungent. Fudgy chocolate, moist tobacco, vanilla, cedar in aroma and cup. Backgrounded, roast-rounded acidity; lightly syrupy mouthfeel. Resonant, richly drying finish."
"Esmeralda Leon Natural Geisha"|"Bird Rock Coffee Roasters"|"96"|"La Jolla"|"California"|"Cañas Verdes, Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Profoundly intricate yet balanced, complete. Roasted cacao nib, saffron, jasmine, candied mango, blood orange in aroma and cup. Delicately rich, balanced acidity; silky mouthfeel. Jasmine and saffron in particular carry into a long, resonant finish."
"Thai Single-Origin Espresso Blend (A4+A5)"|"Bluekoff Company"|"92"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium-Dark"|"Evaluated as espresso. Smooth, balanced. Caramel, roasted cacao-nib, honeysuckle-like flowers, apricot, star anise in aroma and small cup. Smooth, lightly syrupy mouthfeel; quiet, very sweet finish. In three parts milk a gently caramelly chocolate dominates, with hints of star anise and apricot."
"Natural Process Thailand Espresso"|"Bluekoff Company"|"91"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium"|"Evaluated as espresso. Rich, round, balanced; quietly chocolate- and fruit-toned. Cherry, blood orange, dark chocolate, fresh-cut cedar, lily-like flowers in aroma and small cup. Silky, lively mouthfeel; distinct chocolate carries into a rich though drying finish. A crisply dry, minty chocolate dominates in three parts milk."
"Natural Process Thailand Coffee"|"Bluekoff Company"|"90"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Light"|"Sweet, rich, slightly earthy. Brown sugar, orangy citrus, fresh-cut cedar, bakers’ chocolate, a hint of fresh, humus-like earth in aroma and cup. Round, gently lively acidity; very lightly syrupy mouthfeel. Flavor consolidates in a rather short finish."
"Shilcho Ethiopia, Red Cherry Initiative"|"Cafe Virtuoso"|"94"|"San Diego"|"California"|"Sidamo (also Sidama) growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Juicy but brisk, intricate. Honey, orange, mango, lilac-like flowers, roasted cacao nib in aroma and cup. Rich acidity; smoothly satiny, lively mouthfeel. Flowers and cacao nib in particular saturate a deep, crisply bittersweet finish."
"Kenya AB Kiruga"|"CQ Coffee Roasters"|"93"|"Bedford"|"New Hampshire"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweetly pungent, delicately complex. Honey, tangerine, apricot, lilac in aroma and cup. Gently tart, almost effervescent acidity; very light but silky mouthfeel. Flavor consolidates in a sweetly resonant, richly drying finish."
"Honduras Santa Barbara Las Brisas, Denis Teruel"|"Victrola Coffee Roasters"|"92"|"Seattle"|"Washington"|"Santa Barbara Department, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium-Light"|"Deep, sweet, pungent. Dark chocolate, lily-like flowers, pecan, a hint of ripe orange in aroma and cup. Crisp, gently brisk acidity; soft, plush mouthfeel. Chocolate, orangy citrus, a suggestion of lily carry into a mildly drying finish."
"Guatemala Acatenango Gesha"|"Ragamuffin Coffee Roasters"|"93"|"Newbury Park"|"California"|"Acatenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Richly sweet with an intricate, layered complexity. Honeycomb, wisteria-like flowers, peach, roasted cacao nib in aroma and cup. Gently tart, juicy acidity; syrupy, buoyantly lively mouthfeel. The peach note in particular carries into a rich, sweet-toned finish."
"Ethiopia Konga"|"Ragamuffin Coffee Roasters"|"92"|"Newbury Park"|"California"|"Konga District, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Deep, rich, sweet. Roasted cacao nib, pear cider, lily-like flowers, honeydew melon in aroma and cup. Brisk though sweetly floral-toned acidity; light, silky mouthfeel. Pear and melon in particular carry into a lush, flavor-saturated short finish that turns very mildly drying in the long."
"Lomi Tasha Worka, Ethiopia"|"Bar Nine"|"95"|"Los Angeles"|"California"|"Yirgacheffe growing district, southern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Delicate but deep; resonantly intricate. Lush rose, roasted cacoa-nib, mango chutney, blood orange, frankincense-like aromatic wood in aroma and cup. Bright, juicy, complex acidity; lightly silky, plush mouthfeel. Flavor consolidates but saturates a long finish."
"Laura’s Reserve SL-28"|"Hula Daddy"|"94"|"Holualoa"|"Hawaii"|"Holualoa, North Kona growing district, “Big Island” of Hawaii"|"Hawaii"|"Hawaii"|"Medium"|"Big, juicy, resonantly bright. Blood orange, black currant, lilac, vanilla, dark chocolate. Rich, round, lively acidity; full, syrupy mouthfeel. Flavor consolidates but retains depth and sweetness in a long finish."
"FlatIron Medium"|"HiLine Coffee"|"92"|"New York"|"New York"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Delicate, lively, sweetly tart. Roasted cacao nib, orange marmalade, pear, narcissus-like flowers in aroma and cup. Delicately bright acidity; light, silky mouthfeel. The tart character softens and smoothes in a gently flavor-saturated finish."
"Kenya Kia Kiamarigo AA"|"Parisi Artisan Coffee"|"92"|"Kansas City"|"Missouri"|"Nyeri growing region, south-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Intense, pungent, arresting. Honey, sweetly tart berry, spicy tea rose, roasted cacao nib in aroma and cup. Softly bright, complexly expressed acidity; syrupy mouthfeel. The berry note dominates in a deep, bittersweet finish."
"Kenya Mbeguka AA"|"Kickapoo Coffee Roasters"|"93"|"Driftless"|"Wisconsin"|"Embu County, Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Deeply and sweetly tart; intricate; refined. Distinct sweet lemon, pungent black currant, roasted cacao nib, narcissus-like flowers in aroma and cup. Pronounced, richly resonant acidity; lightly syrupy mouthfeel. Flavor consolidates but sustains in a crisp, gently tart finish."
"Organic Colombia Fondo Paez"|"Kickapoo Coffee Roasters"|"91"|"Driftless"|"Wisconsin"|"Valle del Cauca growing region, Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Soft, deep, pungent. Dark chocolate, hazelnut, apricot/plum, a hint of heady night-blooming flowers in aroma and cup. Rich, gently drying acidity; lightly syrupy mouthfeel. Hints of chocolate, hazelnut and apricot/plum all carry into a quietly rich finish."
"Semeon Abay Ethiopia"|"Barrington Coffee Roasting Co."|"95"|"Lee"|"Massachusetts"|"Southern and/or western Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Intense, sweet, juicy, intricate. Strawberry, blueberry, complex flowers (citrus blossom, lavender), pear cider, roasted almond in aroma and cup. Bright, vivacious acidity; light, buoyant, almost effervescent mouthfeel. Flavor saturates a gently drying finish."
"Kenya Nyeri Rukira AB"|"Kakalove Cafe"|"95"|"Chia-Yi"|"Taiwan"|"Nyeri County, Central Kenya"|"Kenya"|"Africa"|"Medium"|"Perfectly structured; pungent, juicy, deeply complex. Honey, lemon, blackberry, black cherry, intense narcissus-like flowers in aroma and cup. Rich, balanced acidity; plush, lively mouthfeel. Honey, lemon, berry, a hint of nut-toned cacao nib carry into a long, thoroughly flavor-saturated finish."
"Doi Chaang Arabica"|"Moriah Coffee"|"92"|"Taoyuan"|"Taiwan"|"Northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium-Light"|"Delicately complex, sweet-toned, balanced. Almond, roasted cacao-nib, sweet lime, honeysuckle-like flowers in aroma and cup. Gently crisp, nuanced acidity; buoyant, lightly syrupy mouthfeel. Most flavor notes carry into a long, sweet-toned finish."
"Auromar Camilina Geisha"|"PT's Coffee Roasting Co."|"95"|"Topeka"|"Kansas"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Intense, juicy, massively complex. Honey, mango, grapefruit, bakers’ chocolate, tea rose, much more in aroma and cup. Big, sweetly tart acidity; full, syrupy mouthfeel. In the finish flavor consolidates but rings on, gentle, layered, resonant."
"Ethiopia Wenago Natural"|"Old Soul Co."|"95"|"Sacramento"|"California"|"Gedeo zone, Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Amazingly sweet, lushly fruit-toned. Orangy citrus, blueberry, dark chocolate, apple cider, cherry blossom in aroma and cup. Vibrant, rich acidity; syrupy, buoyant mouthfeel. Deeply flavor-saturated finish."
"Panama Geisha Holiday Blend"|"Compelling & Rich"|"95"|"Los Angeles"|"California"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Intense but balanced; expansively complex. Honeysuckle, very ripe, perhaps candied tangerine, papaya, crisply nut-toned cacao nib in aroma and cup. Delicate, sweetly brisk acidity; light, very silky and buoyant mouthfeel. The ripe citrus and sweet papaya in particular carry into a rich finish."
"Panama Esmeralda Especial Geisha Bosque 2"|"Temple Coffee and Tea"|"94"|"Sacramento"|"California"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium"|"Intricately rich, delicately bittersweet. Honey, peach, kumquat, orange blossom, hazelnut, a suggestion of angostura bitters in aroma and cup. Delicately brisk, spice-toned acidity; lightly satiny mouthfeel. Resonant, flavor-saturated finish."
"Gratitude Special Blend"|"Geisha Coffee Roaster"|"94"|"Longwood"|"Florida"|"Central America"|"Central_America"|"CentralAmerica_Mexico"|"Medium"|"Pungent, deep, spicy. Milk chocolate, Concord grape, passion flower, aromatic sandalwood, a hint of savory black truffle in aroma and cup. Tart, juicy acidity; syrupy, lively mouthfeel. Rich, spice-toned, slightly savory finish."
"Nicaragua Pacamara Reserve Los Congos"|"Dragonfly Coffee Roasters"|"94"|"Boulder"|"Colorado"|"San Fernando, Nueva Segovia region, Nicaragua"|"Nicaragua"|"CentralAmerica_Mexico"|"Medium-Light"|"Exotically pungent, deep, intricate. Strawberry, mint, dark chocolate, banana, musky flowers, a faint hint of brandy in aroma and cup. Deep, backgrounded but vibrant acidity; syrupy, lively mouthfeel. Chocolate in particular carries into a sweet, resonant finish."
"Kenya Muthonjo AA"|"Tony's Coffees and Teas"|"94"|"Bellingham"|"Washington"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"Intense; spicy and floral; richly dry. Black currant, lavender, mulling spices, anise, a hint of roasted cacao nib in aroma and cup. Bright acidity; lightly syrupy mouthfeel. The lavender, black currant and anise suggestions all deeply saturate a roundly drying finish."
"California Grown Coffee: Caturra 2014 Crop"|"Good Land Organics"|"91"|"Goleta"|"California"|"California, United States"|"United_States"|"Hawaii"|"Light"|"Pungent, deep, sweetly nut-toned. Brown sugar, cashew, orange, cherry, a hint of lily-like flowers in aroma and cup. Quiet, rich acidity; lightly syrupy mouthfeel. Flavor consolidates around the cherry-like fruit note in a sweet, resonant finish."
"Kenya Kaiguri Peaberry"|"Chocolate Fish Coffee Roasters"|"93"|"Sacramento"|"California"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweetly pungent, distinctive. A rich, attractive fresh tobacco note dominates, complicated by prune, orange, dark chocolate, spicy flowers. Brisk, complexly tart acidity; light but lively, almost effervescent mouthfeel. Flavor rounds and consolidates in a rich finish."
"Guatemala Jimenez Vasquez micro-lot"|"BeanFruit Coffee"|"90"|"Jackson"|"Mississippi"|"Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Quietly pungent, sweet. Dark chocolate, molasses, oak, hints of thyme and lily in aroma and cup. Round, resonant acidity; full, syrupy mouthfeel. The chocolate and hints of herb and flowers carry into a simple though rich finish."
"Ethiopia Ninety Plus Hachira N2"|"Papa Lin's Coffee Roasting"|"95"|"Yorktown Heights"|"New York"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Extravagant, complex; immense sweetness. Honey, cocoa-butter, sweetly tart fruit (loquat, tangerine, strawberry), violet-like flowers, incense-like pungency (saffron, myrrh, sandalwood). Rich, lyrical acidity; smooth, silky mouthfeel. Flavor consolidates but rings on in a long, layered finish."
"Perci Red Panama Gesha"|"Barrington Coffee Roasting Co."|"95"|"Lee"|"Massachusetts"|"Silla Del Pando, Volcan, Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Impressive balance and completeness, astounding complexity. Sweet, orchid-like flowers, pineapple, strawberry, sweet, orchid-like flowers, crisp roasted cacao nib in aroma and cup. Plump, juicy acidity; nectar-like mouthfeel. Flavor generalizes around the fruit and floral notes but rings on in a long, deep finish."
"Kenya Karagoto"|"Allegro Coffee"|"94"|"Berkeley"|"California"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium"|"Crisply sweet, giddily lively. Complex flowers (lilac, lavender, freesia), butter, roasted cacao nib, brown sugar, dry berry in aroma and cup. Delicate, sweetly bright acidity; silky mouthfeel. Sweet-toned, flavor-saturated finish."
"Nekisse Natural Process Ethiopia"|"Barrington Coffee Roasting Co."|"94"|"Lee"|"Massachusetts"|"Sidamo (also Sidama) growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Sweetly pungent; dense, layered complexity. Caramel, roasted cacao-nib, blueberry, narcissus, a hint of passion fruit in aroma and cup. Rich, rounded acidity; lightly smooth, silky mouthfeel. Blueberry and cacao nib in particular saturate a gently drying finish."
"Costa Rica Santa Rosa 1900"|"Allegro Coffee"|"93"|"Berkeley"|"California"|"Tarrazu growing region, central Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Light"|"Rich, crisply balanced, deep. Blood orange, fresh-cut oak, narcissus, roasted cacao nib in aroma and cup. Rich, round, low-toned acidity; full, syrupy mouthfeel. The flowers and a particularly chocolaty cacao nib carry persuasively into a crisp finish."
"Lycello Panama Gesha"|"Barrington Coffee Roasting Co."|"93"|"Lee"|"Massachusetts"|"Silla Del Pando, Volcan, Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Delicate, sweetly tart. Pear, dark chocolate, honeysuckle, tangerine, fresh-cut cedar in aroma and cup. Balanced, richly expressed acidity; full mouthfeel. The fruit and cedar notes carry into a gently flavor-saturated finish."
"Sulawesi Toarco Peaberry"|"Allegro Coffee"|"90"|"Berkeley"|"California"|"Toraja growing region, south-central Sulawesi, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium"|"Deep, sweet, resonant. Violet-like flowers, Brazil nut, plum, manzanita, a hint of dark chocolate in aroma and cup. Round, backgrounded acidity; lightly syrupy mouthfeel. Plum, flowers and nut all carry into a rich though drying finish."
"Costa Rica La Nena Red Honey"|"Kakalove Cafe"|"92"|"Chia-Yi"|"Taiwan"|"Central Valley growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Light"|"Delicately and sweetly pungent. Ripe orange, narcissus-like flowers, roasted cacao nib, roasted pecan in aroma and cup. Gentle but vibrant acidity; lightly syrupy, lively mouthfeel. Flavor consolidates in a rather short finish."
"Nagy Peaberry"|"ManLao River Coffee Company"|"88"|"Pu’Er"|"Yunnan Province"|"Yunnan Province, China"|"China"|"Asia_Indonesia"|"Medium-Light"|"Sweet, plain, refreshing. Honey, or perhaps agave syrup, fresh-cut birch wood, plumeria, a hint of tangerine-like citrus in aroma and cup. Sweet-toned, delicate acidity; satiny mouthfeel. Flavor simplifies in a short finish, though the flower and wood notes persist."
"Kenya Gondo"|"Revel Coffee"|"93"|"Billings"|"Montana."|"Murang’a County, central Kenya"|"Kenya"|"Africa"|"Light"|"Crisply sweet, deeply complex. Honey, blood orange, Concord grape, vanilla-toned flowers, walnut in aroma and cup. Big, rich acidity; satiny mouthfeel. Grape and honey carry into a long, resonant finish."
"Ethiopia Yirgacheffe Gutiti"|"Paradise Roasters"|"94"|"Ramsey"|"Minnesota"|"Kochere, Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Intense, dynamic, lush yet crisp. An avalanche of floral notes (rose, lily, gardenia), sandalwood, lemon zest, roasted cacao nib in aroma and cup. Sweetly tart acidity; plush, buoyant mouthfeel. Flavor simplifies but saturates a richly dry finish."
"Ulos Batak Sumatra Peaberry"|"JBC Coffee Roasters"|"95"|"Madison"|"Wisconsin"|"Northern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Light"|"Dynamic, deeply layered, complex. Pungent suggestions of humus-like, moist fresh-fallen leaves, fragrant pipe tobacco, malted barley layer with fruit (honeydew melon, mango, blood orange) and narcissus-like flowers. Gentle, very sweetly tart acidity; lightish but smooth, silky mouthfeel. Flavor consolidates without losing character in a rich, sweet-toned finish."
"Emilse Luna Colombia"|"JBC Coffee Roasters"|"91"|"Madison"|"Wisconsin"|"Pitalito, Huila Department, southwestern Colombia"|"Colombia"|"South_America"|"Light"|"Crisp, orchardy, fresh. Honey, carob, green grape, walnut, a hint of rose-like flowers in aroma and cup. Rich, brisk acidity; lightly syrupy mouthfeel. Honey, grape and carob lead into a rich, balanced finish."
"Ethiopia Konga"|"Lexington Coffee Roasters"|"94"|"Lexington"|"Virginia"|"Konga District, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Big, sweet, plumy. Dark chocolate, brandy, ripe strawberry, kumquat, honeysuckle in aroma and cup. Lively, flavor-saturated acidity; satiny mouthfeel. Rich finishing, saturated with flowers and a fruit-toned chocolate."
"Kenya Kieni"|"Lexington Coffee Roasters"|"93"|"Lexington"|"Virginia"|"Nyeri County, Central Highlands, Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweetly pungent, odd but engaging. Molasses, richly tart fruit (mulberry, tamarind), unroasted pine nut and delicate flowers – wisteria, violet – in aroma and cup. Round, sweetly tart acidity, syrupy mouthfeel. Fruit sweetens and rounds in a ringing and harmonious finish."
"Papua New Guinea Kimel"|"Lexington Coffee Roasters"|"92"|"Lexington"|"Virginia"|"Wahgi Valley, Western Highlands, Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Medium-Light"|"Balanced, engaging depth, quiet complexity. Raisiny dark chocolate, ripe tangerine-like citrus, night-blooming flowers, all deepened by a savory hint in the structure. Low-toned but vibrant acidity; smooth, plush mouthfeel. Flavor consolidates but persists in a long, gently sweet finish."
"Colombia Cauca"|"Lexington Coffee Roasters"|"91"|"Lexington"|"Virginia"|"Valle de Cauca Department, southwestern Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Softly tart, nut-toned. Roasted cacao-nib, hazelnut, tea rose, blood orange in aroma and cup. Crisply sweet, juicy acidity; satiny, lively mouthfeel. Flavor persists, delicately but sweetly, in a clean, satisfying finish."
"Kenya AA Top 405A Espresso"|"Simon Hsieh's Aroma Roast Coffees"|"95"|"Taoyuan City"|"Taiwan"|"Central Kenya"|"Kenya"|"Africa"|"Medium"|"Evaluated as espresso. Rich, deep, complexly expressed. Fresh-cut cedar, blood orange, roasted cocoa nib, lavender, musk in aroma and cup. Plush, silky mouthfeel. Cedar and lavender carry into a sweet, gently drying finish. Flavor carries impressively into three parts milk, with a crisp, lightly stated chocolate dominating and a fine finish."
